Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag
2,A1,770,6253,Ecells,5855,1,,control,0.0001,
2,B1,4008,5570,Ecells,830,817,1217,antagScreen,5.00E-04,3.00E-05
2,C1,4310,6184,Ecells,830,817,904,antagScreen,5.00E-04,3.00E-05
2,D1,4733,5502,Ecells,830,817,1218,antagScreen,5.00E-04,3.00E-05
2,E1,4503,6118,Ecells,830,817,905,antagScreen,5.00E-04,3.00E-05
2,F1,4810,5741,Ecells,830,817,1219,antagScreen,5.00E-04,3.00E-05
2,G1,5611,5998,Ecells,830,817,906,antagScreen,5.00E-04,3.00E-05
2,H1,5005,4901,Ecells,830,817,1220,antagScreen,5.00E-04,3.00E-05
2,I1,4914,4800,Ecells,830,817,907,antagScreen,5.00E-04,3.00E-05
2,J1,4341,4074,Ecells,830,817,1221,antagScreen,5.00E-04,3.00E-05
2,K1,4802,4738,Ecells,830,817,908,antagScreen,5.00E-04,3.00E-05
2,L1,4362,4194,Ecells,830,817,1222,antagScreen,5.00E-04,3.00E-05
2,M1,4434,4095,Ecells,830,817,909,antagScreen,5.00E-04,3.00E-05
2,N1,5085,3802,Ecells,830,817,1223,antagScreen,5.00E-04,3.00E-05
2,O1,5327,4190,Ecells,830,817,910,antagScreen,5.00E-04,3.00E-05
2,P1,4593,3220,Ecells,830,817,1224,antagScreen,5.00E-04,3.00E-05
2,A2,795,5524,Ecells,5855,1,,control,0.0001,
2,B2,3971,6162,Ecells,830,817,1125,antagScreen,5.00E-04,3.00E-05
2,C2,4158,5861,Ecells,830,817,810,antagScreen,5.00E-04,3.00E-05
2,D2,3945,5333,Ecells,830,817,1126,antagScreen,5.00E-04,3.00E-05
2,E2,3915,5042,Ecells,830,817,811,antagScreen,5.00E-04,3.00E-05
2,F2,3561,4943,Ecells,830,817,1127,antagScreen,5.00E-04,3.00E-05
2,G2,4123,5137,Ecells,830,817,812,antagScreen,5.00E-04,3.00E-05
2,H2,5076,4611,Ecells,830,817,1128,antagScreen,5.00E-04,3.00E-05
2,I2,4638,4818,Ecells,830,817,813,antagScreen,5.00E-04,3.00E-05
2,J2,4719,4193,Ecells,830,817,1129,antagScreen,5.00E-04,3.00E-05
2,K2,5396,4325,Ecells,830,817,814,antagScreen,5.00E-04,3.00E-05
2,L2,4156,3611,Ecells,830,817,1130,antagScreen,5.00E-04,3.00E-05
2,M2,5184,3974,Ecells,830,817,815,antagScreen,5.00E-04,3.00E-05
2,N2,4464,3837,Ecells,830,817,1131,antagScreen,5.00E-04,3.00E-05
2,O2,4364,3891,Ecells,830,817,816,antagScreen,5.00E-04,3.00E-05
2,P2,4132,2998,Ecells,830,817,1132,antagScreen,5.00E-04,3.00E-05
2,A3,833,6325,Ecells,5855,1,,control,0.0001,
2,B3,5123,6482,Ecells,830,817,1225,antagScreen,5.00E-04,3.00E-05
2,C3,4766,5749,Ecells,830,817,912,antagScreen,5.00E-04,3.00E-05
2,D3,4345,5986,Ecells,830,817,1226,antagScreen,5.00E-04,3.00E-05
2,E3,5295,5634,Ecells,830,817,913,antagScreen,5.00E-04,3.00E-05
2,F3,5014,4997,Ecells,830,817,1227,antagScreen,5.00E-04,3.00E-05
2,G3,6033,5079,Ecells,830,817,914,antagScreen,5.00E-04,3.00E-05
2,H3,6066,4992,Ecells,830,817,1228,antagScreen,5.00E-04,3.00E-05
2,I3,5036,4805,Ecells,830,817,915,antagScreen,5.00E-04,3.00E-05
2,J3,5649,4366,Ecells,830,817,1229,antagScreen,5.00E-04,3.00E-05
2,K3,5316,4554,Ecells,830,817,916,antagScreen,5.00E-04,3.00E-05
2,L3,5034,4372,Ecells,830,817,1230,antagScreen,5.00E-04,3.00E-05
2,M3,5474,2509,Ecells,830,817,917,antagScreen,5.00E-04,3.00E-05
2,N3,4468,3796,Ecells,830,817,1231,antagScreen,5.00E-04,3.00E-05
2,O3,3801,4772,Ecells,830,817,918,antagScreen,5.00E-04,3.00E-05
2,P3,4362,3540,Ecells,830,817,1232,antagScreen,5.00E-04,3.00E-05
2,A4,736,5708,Ecells,5855,1,,control,0.0001,
2,B4,4438,5700,Ecells,830,817,1133,antagScreen,5.00E-04,3.00E-05
2,C4,4926,5892,Ecells,830,817,818,antagScreen,5.00E-04,3.00E-05
2,D4,4737,5684,Ecells,830,817,1134,antagScreen,5.00E-04,3.00E-05
2,E4,5036,5204,Ecells,830,817,819,antagScreen,5.00E-04,3.00E-05
2,F4,4836,5068,Ecells,830,817,1135,antagScreen,5.00E-04,3.00E-05
2,G4,5479,4778,Ecells,830,817,820,antagScreen,5.00E-04,3.00E-05
2,H4,5399,4182,Ecells,830,817,1136,antagScreen,5.00E-04,3.00E-05
2,I4,4989,4025,Ecells,830,817,821,antagScreen,5.00E-04,3.00E-05
2,J4,4654,3747,Ecells,830,817,1137,antagScreen,5.00E-04,3.00E-05
2,K4,4575,3819,Ecells,830,817,822,antagScreen,5.00E-04,3.00E-05
2,L4,5478,3677,Ecells,830,817,1138,antagScreen,5.00E-04,3.00E-05
2,M4,4624,4058,Ecells,830,817,823,antagScreen,5.00E-04,3.00E-05
2,N4,4526,3544,Ecells,830,817,1139,antagScreen,5.00E-04,3.00E-05
2,O4,4457,4053,Ecells,830,817,824,antagScreen,5.00E-04,3.00E-05
2,P4,4342,3733,Ecells,830,817,1140,antagScreen,5.00E-04,3.00E-05
2,A5,704,5957,Ecells,5855,1,,control,0.0001,
2,B5,4062,6126,Ecells,830,817,1233,antagScreen,5.00E-04,3.00E-05
2,C5,4579,6122,Ecells,830,817,920,antagScreen,5.00E-04,3.00E-05
