Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,L5,1319,994,H3A,830,817,1238,antagScreen,5.00E-04,3.00E-05,
4,M5,1285,1063,H3A,830,817,925,antagScreen,5.00E-04,3.00E-05,
4,N5,1386,903,H3A,830,817,1239,antagScreen,5.00E-04,3.00E-05,
4,O5,1456,1014,H3A,830,817,926,antagScreen,5.00E-04,3.00E-05,
4,P5,1518,918,H3A,830,817,1240,antagScreen,5.00E-04,3.00E-05,
4,A6,2066,1291,H3A,5855,1,,control,0.0001,,
4,B6,1317,1348,H3A,830,817,1141,antagScreen,5.00E-04,3.00E-05,
4,C6,1282,1315,H3A,830,817,826,antagScreen,5.00E-04,3.00E-05,
4,D6,1224,1236,H3A,830,817,1142,antagScreen,5.00E-04,3.00E-05,
4,E6,1092,1127,H3A,830,817,827,antagScreen,5.00E-04,3.00E-05,
4,F6,1044,1008,H3A,830,817,1143,antagScreen,5.00E-04,3.00E-05,
4,G6,1086,1033,H3A,830,817,828,antagScreen,5.00E-04,3.00E-05,
4,H6,1134,986,H3A,830,817,1144,antagScreen,5.00E-04,3.00E-05,
4,I6,1252,991,H3A,830,817,829,antagScreen,5.00E-04,3.00E-05,
4,J6,1011,896,H3A,830,817,1145,antagScreen,5.00E-04,3.00E-05,
4,K6,1095,1038,H3A,830,817,830,antagScreen,5.00E-04,3.00E-05,
4,L6,1068,944,H3A,830,817,1146,antagScreen,5.00E-04,3.00E-05,
4,M6,1027,957,H3A,830,817,831,antagScreen,5.00E-04,3.00E-05,
4,N6,1138,904,H3A,830,817,1147,antagScreen,5.00E-04,3.00E-05,
4,O6,1015,877,H3A,830,817,832,antagScreen,5.00E-04,3.00E-05,
4,P6,1148,917,H3A,830,817,1148,antagScreen,5.00E-04,3.00E-05,
4,A7,539,1509,H3A,5855,811,,control,1.00E-10,,
4,B7,1330,1486,H3A,830,817,1241,antagScreen,5.00E-04,3.00E-05,
4,C7,1337,1276,H3A,830,817,928,antagScreen,5.00E-04,3.00E-05,
4,D7,1276,1204,H3A,830,817,1242,antagScreen,5.00E-04,3.00E-05,
4,E7,1282,1001,H3A,830,817,929,antagScreen,5.00E-04,3.00E-05,
4,F7,1275,1153,H3A,830,817,1243,antagScreen,5.00E-04,3.00E-05,
4,G7,1420,1137,H3A,830,817,930,antagScreen,5.00E-04,3.00E-05,
4,H7,1423,1152,H3A,830,817,1244,antagScreen,5.00E-04,3.00E-05,
4,I7,1296,1091,H3A,830,817,931,antagScreen,5.00E-04,3.00E-05,
4,J7,1338,1068,H3A,830,817,1245,antagScreen,5.00E-04,3.00E-05,
4,K7,1266,1012,H3A,830,817,932,antagScreen,5.00E-04,3.00E-05,
4,L7,1324,1083,H3A,830,817,1246,antagScreen,5.00E-04,3.00E-05,
4,M7,1374,973,H3A,830,817,933,antagScreen,5.00E-04,3.00E-05,
4,N7,1380,929,H3A,830,817,1247,antagScreen,5.00E-04,3.00E-05,
4,O7,1383,1052,H3A,830,817,934,antagScreen,5.00E-04,3.00E-05,
4,P7,1385,896,H3A,830,817,1248,antagScreen,5.00E-04,3.00E-05,
4,A8,531,1541,H3A,5855,811,,control,1.00E-10,,
4,B8,1375,1433,H3A,830,817,1149,antagScreen,5.00E-04,3.00E-05,
4,C8,1334,1429,H3A,830,817,834,antagScreen,5.00E-04,3.00E-05,
4,D8,1330,1242,H3A,830,817,1150,antagScreen,5.00E-04,3.00E-05,
4,E8,1135,1172,H3A,830,817,835,antagScreen,5.00E-04,3.00E-05,
4,F8,1286,1158,H3A,830,817,1151,antagScreen,5.00E-04,3.00E-05,
4,G8,1050,1180,H3A,830,817,836,antagScreen,5.00E-04,3.00E-05,
4,H8,1253,1056,H3A,830,817,1152,antagScreen,5.00E-04,3.00E-05,
4,I8,1259,1179,H3A,830,817,837,antagScreen,5.00E-04,3.00E-05,
4,J8,1162,938,H3A,830,817,1153,antagScreen,5.00E-04,3.00E-05,
4,K8,1128,995,H3A,830,817,838,antagScreen,5.00E-04,3.00E-05,
4,L8,948,1024,H3A,830,817,1154,antagScreen,5.00E-04,3.00E-05,
4,M8,1140,956,H3A,830,817,839,antagScreen,5.00E-04,3.00E-05,
4,N8,1140,969,H3A,830,817,1155,antagScreen,5.00E-04,3.00E-05,
