Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,B22,1377,1083,H3A,830,817,721,antagScreen,5.00E-04,3.00E-05,
4,C22,1016,1275,H3A,830,817,530,antagScreen,5.00E-04,3.00E-05,
4,D22,1020,1215,H3A,830,817,722,antagScreen,5.00E-04,3.00E-05,
4,E22,1050,1031,H3A,830,817,531,antagScreen,5.00E-04,3.00E-05,
4,F22,841,992,H3A,830,817,723,antagScreen,5.00E-04,3.00E-05,
4,G22,940,1096,H3A,830,817,532,antagScreen,5.00E-04,3.00E-05,
4,H22,980,952,H3A,830,817,724,antagScreen,5.00E-04,3.00E-05,
4,I22,878,1036,H3A,830,817,533,antagScreen,5.00E-04,3.00E-05,
4,J22,1106,875,H3A,830,817,725,antagScreen,5.00E-04,3.00E-05,
4,K22,919,911,H3A,830,817,534,antagScreen,5.00E-04,3.00E-05,
4,L22,881,785,H3A,830,817,726,antagScreen,5.00E-04,3.00E-05,
4,M22,1014,896,H3A,830,817,535,antagScreen,5.00E-04,3.00E-05,
4,N22,903,856,H3A,830,817,727,antagScreen,5.00E-04,3.00E-05,
4,O22,859,720,H3A,830,817,536,antagScreen,5.00E-04,3.00E-05,
4,P22,936,752,H3A,830,817,728,antagScreen,5.00E-04,3.00E-05,
4,A23,1727,1890,H3A,830,811,265,control,1.00E-10,3.00E-05,
4,B23,1959,1543,H3A,830,817,633,antagScreen,5.00E-04,3.00E-05,
4,C23,1569,1232,H3A,830,817,442,antagScreen,5.00E-04,3.00E-05,
4,D23,1604,1203,H3A,830,817,634,antagScreen,5.00E-04,3.00E-05,
4,E23,1487,1189,H3A,830,817,443,antagScreen,5.00E-04,3.00E-05,
4,F23,1187,1172,H3A,830,817,635,antagScreen,5.00E-04,3.00E-05,
4,G23,1334,1057,H3A,830,817,444,antagScreen,5.00E-04,3.00E-05,
4,H23,1229,1086,H3A,830,817,636,antagScreen,5.00E-04,3.00E-05,
4,I23,1507,1120,H3A,830,817,445,antagScreen,5.00E-04,3.00E-05,
4,J23,1267,1137,H3A,830,817,637,antagScreen,5.00E-04,3.00E-05,
4,K23,1282,845,H3A,830,817,446,antagScreen,5.00E-04,3.00E-05,
4,L23,1405,946,H3A,830,817,638,antagScreen,5.00E-04,3.00E-05,
4,M23,1485,899,H3A,830,817,447,antagScreen,5.00E-04,3.00E-05,
4,N23,1177,761,H3A,830,817,639,antagScreen,5.00E-04,3.00E-05,
4,O23,1310,861,H3A,830,817,448,antagScreen,5.00E-04,3.00E-05,
4,P23,23,21,H3A,830,817,640,antagScreen,5.00E-04,3.00E-05,
4,A24,997,1828,H3A,830,811,265,control,1.00E-10,3.00E-05,
4,B24,1464,1252,H3A,830,817,729,antagScreen,5.00E-04,3.00E-05,
4,C24,1253,1247,H3A,830,817,538,antagScreen,5.00E-04,3.00E-05,
4,D24,1011,1135,H3A,830,817,730,antagScreen,5.00E-04,3.00E-05,
4,E24,1060,988,H3A,830,817,539,antagScreen,5.00E-04,3.00E-05,
4,F24,1148,1048,H3A,830,817,731,antagScreen,5.00E-04,3.00E-05,
4,G24,1334,1194,H3A,830,817,540,antagScreen,5.00E-04,3.00E-05,
4,H24,902,976,H3A,830,817,732,antagScreen,5.00E-04,3.00E-05,
4,I24,1076,903,H3A,830,817,541,antagScreen,5.00E-04,3.00E-05,
4,J24,999,969,H3A,830,817,733,antagScreen,5.00E-04,3.00E-05,
4,K24,972,732,H3A,830,817,542,antagScreen,5.00E-04,3.00E-05,
4,L24,992,790,H3A,830,817,734,antagScreen,5.00E-04,3.00E-05,
4,M24,883,733,H3A,830,817,543,antagScreen,5.00E-04,3.00E-05,
4,N24,1087,689,H3A,830,817,735,antagScreen,5.00E-04,3.00E-05,
4,O24,896,678,H3A,830,817,544,antagScreen,5.00E-04,3.00E-05,
4,P24,20,16,H3A,830,817,736,antagScreen,5.00E-04,3.00E-05,
