Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag
3,D5,1953,1685,H3A,999,77,1234,antagScreen,1.00E-06,3.00E-05
3,E5,2163,1688,H3A,999,77,921,antagScreen,1.00E-06,3.00E-05
3,F5,2541,1573,H3A,999,77,1235,antagScreen,1.00E-06,3.00E-05
3,G5,2193,1425,H3A,999,77,922,antagScreen,1.00E-06,3.00E-05
3,H5,2670,1645,H3A,999,77,1236,antagScreen,1.00E-06,3.00E-05
3,I5,1976,1388,H3A,999,77,923,antagScreen,1.00E-06,3.00E-05
3,J5,2159,1378,H3A,999,77,1237,antagScreen,1.00E-06,3.00E-05
3,K5,2299,1293,H3A,999,77,924,antagScreen,1.00E-06,3.00E-05
3,L5,2304,1193,H3A,999,77,1238,antagScreen,1.00E-06,3.00E-05
3,M5,2298,1228,H3A,999,77,925,antagScreen,1.00E-06,3.00E-05
3,N5,2630,1284,H3A,999,77,1239,antagScreen,1.00E-06,3.00E-05
3,O5,2423,1235,H3A,999,77,926,antagScreen,1.00E-06,3.00E-05
3,P5,2377,1338,H3A,999,77,1240,antagScreen,1.00E-06,3.00E-05
3,A6,1996,1592,H3A,5855,1,,control,0.0001,
3,B6,2475,1879,H3A,999,77,1141,antagScreen,1.00E-06,3.00E-05
3,C6,2623,1977,H3A,999,77,826,antagScreen,1.00E-06,3.00E-05
3,D6,2120,1744,H3A,999,77,1142,antagScreen,1.00E-06,3.00E-05
3,E6,2162,1737,H3A,999,77,827,antagScreen,1.00E-06,3.00E-05
3,F6,2146,1597,H3A,999,77,1143,antagScreen,1.00E-06,3.00E-05
3,G6,2041,1597,H3A,999,77,828,antagScreen,1.00E-06,3.00E-05
3,H6,2508,1519,H3A,999,77,1144,antagScreen,1.00E-06,3.00E-05
3,I6,2267,1464,H3A,999,77,829,antagScreen,1.00E-06,3.00E-05
3,J6,2203,1312,H3A,999,77,1145,antagScreen,1.00E-06,3.00E-05
3,K6,2136,1258,H3A,999,77,830,antagScreen,1.00E-06,3.00E-05
3,L6,2371,1304,H3A,999,77,1146,antagScreen,1.00E-06,3.00E-05
3,M6,2465,1365,H3A,999,77,831,antagScreen,1.00E-06,3.00E-05
3,N6,2595,1330,H3A,999,77,1147,antagScreen,1.00E-06,3.00E-05
3,O6,2350,1213,H3A,999,77,832,antagScreen,1.00E-06,3.00E-05
3,P6,2399,1184,H3A,999,77,1148,antagScreen,1.00E-06,3.00E-05
3,A7,454,1881,H3A,5855,811,,control,1.00E-12,
3,B7,2752,1879,H3A,999,77,1241,antagScreen,1.00E-06,3.00E-05
3,C7,2518,1893,H3A,999,77,928,antagScreen,1.00E-06,3.00E-05
3,D7,2641,1639,H3A,999,77,1242,antagScreen,1.00E-06,3.00E-05
3,E7,2711,1524,H3A,999,77,929,antagScreen,1.00E-06,3.00E-05
3,F7,2440,1632,H3A,999,77,1243,antagScreen,1.00E-06,3.00E-05
3,G7,2214,1485,H3A,999,77,930,antagScreen,1.00E-06,3.00E-05
3,H7,2502,1639,H3A,999,77,1244,antagScreen,1.00E-06,3.00E-05
3,I7,2464,1607,H3A,999,77,931,antagScreen,1.00E-06,3.00E-05
3,J7,2217,1409,H3A,999,77,1245,antagScreen,1.00E-06,3.00E-05
3,K7,2243,1431,H3A,999,77,932,antagScreen,1.00E-06,3.00E-05
3,L7,2103,1222,H3A,999,77,1246,antagScreen,1.00E-06,3.00E-05
3,M7,2582,1309,H3A,999,77,933,antagScreen,1.00E-06,3.00E-05
3,N7,2464,1302,H3A,999,77,1247,antagScreen,1.00E-06,3.00E-05
3,O7,2653,1274,H3A,999,77,934,antagScreen,1.00E-06,3.00E-05
3,P7,2587,1187,H3A,999,77,1248,antagScreen,1.00E-06,3.00E-05
3,A8,397,1714,H3A,5855,811,,control,1.00E-12,
3,B8,2698,2226,H3A,999,77,1149,antagScreen,1.00E-06,3.00E-05
3,C8,2413,1930,H3A,999,77,834,antagScreen,1.00E-06,3.00E-05
3,D8,2510,1722,H3A,999,77,1150,antagScreen,1.00E-06,3.00E-05
3,E8,2341,1887,H3A,999,77,835,antagScreen,1.00E-06,3.00E-05
3,F8,2489,1678,H3A,999,77,1151,antagScreen,1.00E-06,3.00E-05
3,G8,2393,1609,H3A,999,77,836,antagScreen,1.00E-06,3.00E-05
3,H8,2534,1553,H3A,999,77,1152,antagScreen,1.00E-06,3.00E-05
3,I8,2023,1392,H3A,999,77,837,antagScreen,1.00E-06,3.00E-05
3,J8,2196,1249,H3A,999,77,1153,antagScreen,1.00E-06,3.00E-05
3,K8,2403,1366,H3A,999,77,838,antagScreen,1.00E-06,3.00E-05
3,L8,2010,1207,H3A,999,77,1154,antagScreen,1.00E-06,3.00E-05
3,M8,2608,1355,H3A,999,77,839,antagScreen,1.00E-06,3.00E-05
3,N8,2597,1344,H3A,999,77,1155,antagScreen,1.00E-06,3.00E-05
3,O8,3115,1362,H3A,999,77,840,antagScreen,1.00E-06,3.00E-05
3,P8,1794,1392,H3A,999,77,1156,antagScreen,1.00E-06,3.00E-05
3,A9,497,1923,H3A,5855,811,,control,1.00E-12,
3,B9,2767,1931,H3A,999,77,1249,antagScreen,1.00E-06,3.00E-05
3,C9,2281,1771,H3A,999,77,936,antagScreen,1.00E-06,3.00E-05
3,D9,2072,1740,H3A,999,77,1250,antagScreen,1.00E-06,3.00E-05
3,E9,2232,1596,H3A,999,77,937,antagScreen,1.00E-06,3.00E-05
3,F9,2116,1531,H3A,999,77,1251,antagScreen,1.00E-06,3.00E-05
3,G9,2379,1580,H3A,999,77,938,antagScreen,1.00E-06,3.00E-05
3,H9,2444,1420,H3A,999,77,1252,antagScreen,1.00E-06,3.00E-05
3,I9,2336,1358,H3A,999,77,939,antagScreen,1.00E-06,3.00E-05
3,J9,2464,1480,H3A,999,77,1253,antagScreen,1.00E-06,3.00E-05
3,K9,2363,1342,H3A,999,77,940,antagScreen,1.00E-06,3.00E-05
3,L9,2187,1280,H3A,999,77,1254,antagScreen,1.00E-06,3.00E-05
3,M9,2411,1263,H3A,999,77,941,antagScreen,1.00E-06,3.00E-05
3,N9,2620,1287,H3A,999,77,1255,antagScreen,1.00E-06,3.00E-05
3,O9,2680,1264,H3A,999,77,942,antagScreen,1.00E-06,3.00E-05
3,P9,2473,1225,H3A,999,77,1256,antagScreen,1.00E-06,3.00E-05
3,A10,27,53,H3A,5855,811,,control,1.00E-12,
3,B10,219,2092,H3A,999,77,0,DR,1.00E-12,
3,C10,177,2179,H3A,999,77,0,DR,1.00E-12,
3,D10,207,2334,H3A,999,77,0,DR,1.88E-11,
3,E10,174,1813,H3A,999,77,0,DR,5.65E-11,
3,F10,185,1851,H3A,999,77,0,DR,1.69E-10,
3,G10,205,1855,H3A,999,77,0,DR,5.08E-10,
3,H10,227,1763,H3A,999,77,0,DR,1.52E-09,
3,I10,256,1789,H3A,999,77,0,DR,4.57E-09,
3,J10,307,1467,H3A,999,77,0,DR,1.37E-08,
3,K10,519,1400,H3A,999,77,0,DR,4.12E-08,
3,L10,2070,1241,H3A,999,77,0,DR,3.70E-07,
3,M10,2381,1118,H3A,999,77,0,DR,1.11E-06,
3,N10,1514,1305,H3A,999,77,0,DR,1.23E-07,
3,O10,2474,1233,H3A,999,77,0,DR,3.33E-06,
3,P10,2279,993,H3A,999,77,0,DR,0.00001,
3,A11,29,49,H3A,5855,811,,control,1.00E-12,
3,B11,217,2657,H3A,999,77,0,DR,1.00E-12,
3,C11,200,2359,H3A,999,77,0,DR,1.00E-12,
3,D11,208,2398,H3A,999,77,0,DR,1.88E-11,
3,E11,205,2257,H3A,999,77,0,DR,5.65E-11,
3,F11,210,2086,H3A,999,77,0,DR,1.69E-10,
3,G11,223,2206,H3A,999,77,0,DR,5.08E-10,
