Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag
1,A1,320,7484,Ecells,5855,1,,control,0.0001,
1,B1,3296,5803,Ecells,999,77,1217,antagScreen,1.00E-06,3.00E-05
1,C1,3770,6510,Ecells,999,77,904,antagScreen,1.00E-06,3.00E-05
1,D1,4056,5759,Ecells,999,77,1218,antagScreen,1.00E-06,3.00E-05
1,E1,4381,4988,Ecells,999,77,905,antagScreen,1.00E-06,3.00E-05
1,F1,4860,5196,Ecells,999,77,1219,antagScreen,1.00E-06,3.00E-05
1,G1,4793,5474,Ecells,999,77,906,antagScreen,1.00E-06,3.00E-05
1,H1,4111,4852,Ecells,999,77,1220,antagScreen,1.00E-06,3.00E-05
1,I1,4726,4712,Ecells,999,77,907,antagScreen,1.00E-06,3.00E-05
1,J1,5583,4607,Ecells,999,77,1221,antagScreen,1.00E-06,3.00E-05
1,K1,5016,4343,Ecells,999,77,908,antagScreen,1.00E-06,3.00E-05
1,L1,4791,4419,Ecells,999,77,1222,antagScreen,1.00E-06,3.00E-05
1,M1,5100,4312,Ecells,999,77,909,antagScreen,1.00E-06,3.00E-05
1,N1,4471,3949,Ecells,999,77,1223,antagScreen,1.00E-06,3.00E-05
1,O1,5007,4089,Ecells,999,77,910,antagScreen,1.00E-06,3.00E-05
1,P1,4457,3507,Ecells,999,77,1224,antagScreen,1.00E-06,3.00E-05
1,A2,565,6136,Ecells,5855,1,,control,0.0001,
1,B2,2868,6144,Ecells,999,77,1125,antagScreen,1.00E-06,3.00E-05
1,C2,4133,6256,Ecells,999,77,810,antagScreen,1.00E-06,3.00E-05
1,D2,3683,5027,Ecells,999,77,1126,antagScreen,1.00E-06,3.00E-05
1,E2,3433,5434,Ecells,999,77,811,antagScreen,1.00E-06,3.00E-05
1,F2,4407,4645,Ecells,999,77,1127,antagScreen,1.00E-06,3.00E-05
1,G2,4128,5736,Ecells,999,77,812,antagScreen,1.00E-06,3.00E-05
1,H2,3641,4602,Ecells,999,77,1128,antagScreen,1.00E-06,3.00E-05
1,I2,4214,4629,Ecells,999,77,813,antagScreen,1.00E-06,3.00E-05
1,J2,3567,3978,Ecells,999,77,1129,antagScreen,1.00E-06,3.00E-05
1,K2,3834,4392,Ecells,999,77,814,antagScreen,1.00E-06,3.00E-05
1,L2,3470,3976,Ecells,999,77,1130,antagScreen,1.00E-06,3.00E-05
1,M2,3727,4024,Ecells,999,77,815,antagScreen,1.00E-06,3.00E-05
1,N2,3803,3779,Ecells,999,77,1131,antagScreen,1.00E-06,3.00E-05
1,O2,4389,3992,Ecells,999,77,816,antagScreen,1.00E-06,3.00E-05
1,P2,4247,3910,Ecells,999,77,1132,antagScreen,1.00E-06,3.00E-05
1,A3,324,7481,Ecells,5855,1,,control,0.0001,
1,B3,3104,6548,Ecells,999,77,1225,antagScreen,1.00E-06,3.00E-05
1,C3,3208,6234,Ecells,999,77,912,antagScreen,1.00E-06,3.00E-05
1,D3,3269,5733,Ecells,999,77,1226,antagScreen,1.00E-06,3.00E-05
1,E3,3486,5717,Ecells,999,77,913,antagScreen,1.00E-06,3.00E-05
1,F3,3785,4995,Ecells,999,77,1227,antagScreen,1.00E-06,3.00E-05
1,G3,4451,5070,Ecells,999,77,914,antagScreen,1.00E-06,3.00E-05
1,H3,3983,4653,Ecells,999,77,1228,antagScreen,1.00E-06,3.00E-05
1,I3,3695,4943,Ecells,999,77,915,antagScreen,1.00E-06,3.00E-05
1,J3,4314,4440,Ecells,999,77,1229,antagScreen,1.00E-06,3.00E-05
1,K3,3402,4480,Ecells,999,77,916,antagScreen,1.00E-06,3.00E-05
1,L3,3496,4631,Ecells,999,77,1230,antagScreen,1.00E-06,3.00E-05
1,M3,3934,2437,Ecells,999,77,917,antagScreen,1.00E-06,3.00E-05
1,N3,3523,3896,Ecells,999,77,1231,antagScreen,1.00E-06,3.00E-05
1,O3,4098,4349,Ecells,999,77,918,antagScreen,1.00E-06,3.00E-05
1,P3,5246,4481,Ecells,999,77,1232,antagScreen,1.00E-06,3.00E-05
1,A4,601,6025,Ecells,5855,1,,control,0.0001,
1,B4,3190,6621,Ecells,999,77,1133,antagScreen,1.00E-06,3.00E-05
1,C4,3331,5883,Ecells,999,77,818,antagScreen,1.00E-06,3.00E-05
1,D4,3870,5534,Ecells,999,77,1134,antagScreen,1.00E-06,3.00E-05
1,E4,3397,5068,Ecells,999,77,819,antagScreen,1.00E-06,3.00E-05
1,F4,3501,4857,Ecells,999,77,1135,antagScreen,1.00E-06,3.00E-05
1,G4,3594,5241,Ecells,999,77,820,antagScreen,1.00E-06,3.00E-05
1,H4,4486,5150,Ecells,999,77,1136,antagScreen,1.00E-06,3.00E-05
1,I4,3433,5103,Ecells,999,77,821,antagScreen,1.00E-06,3.00E-05
1,J4,3080,4064,Ecells,999,77,1137,antagScreen,1.00E-06,3.00E-05
1,K4,4026,4754,Ecells,999,77,822,antagScreen,1.00E-06,3.00E-05
1,L4,4201,4387,Ecells,999,77,1138,antagScreen,1.00E-06,3.00E-05
1,M4,3731,4040,Ecells,999,77,823,antagScreen,1.00E-06,3.00E-05
1,N4,4560,4296,Ecells,999,77,1139,antagScreen,1.00E-06,3.00E-05
1,O4,4558,4062,Ecells,999,77,824,antagScreen,1.00E-06,3.00E-05
1,P4,4113,3886,Ecells,999,77,1140,antagScreen,1.00E-06,3.00E-05
1,A5,289,7828,Ecells,5855,1,,control,0.0001,
1,B5,3391,6207,Ecells,999,77,1233,antagScreen,1.00E-06,3.00E-05
1,C5,3734,6244,Ecells,999,77,920,antagScreen,1.00E-06,3.00E-05
1,D5,3709,5397,Ecells,999,77,1234,antagScreen,1.00E-06,3.00E-05
1,E5,3102,5318,Ecells,999,77,921,antagScreen,1.00E-06,3.00E-05
1,F5,3457,4553,Ecells,999,77,1235,antagScreen,1.00E-06,3.00E-05
1,G5,3412,5102,Ecells,999,77,922,antagScreen,1.00E-06,3.00E-05
1,H5,3334,4865,Ecells,999,77,1236,antagScreen,1.00E-06,3.00E-05
1,I5,3421,4688,Ecells,999,77,923,antagScreen,1.00E-06,3.00E-05
1,J5,3177,4413,Ecells,999,77,1237,antagScreen,1.00E-06,3.00E-05
1,K5,3449,4084,Ecells,999,77,924,antagScreen,1.00E-06,3.00E-05
1,L5,3442,4021,Ecells,999,77,1238,antagScreen,1.00E-06,3.00E-05
1,M5,3609,3996,Ecells,999,77,925,antagScreen,1.00E-06,3.00E-05
1,N5,4176,4251,Ecells,999,77,1239,antagScreen,1.00E-06,3.00E-05
1,O5,4182,4084,Ecells,999,77,926,antagScreen,1.00E-06,3.00E-05
1,P5,4370,4371,Ecells,999,77,1240,antagScreen,1.00E-06,3.00E-05
1,A6,599,5642,Ecells,5855,1,,control,0.0001,
1,B6,3657,6369,Ecells,999,77,1141,antagScreen,1.00E-06,3.00E-05
1,C6,3309,5686,Ecells,999,77,826,antagScreen,1.00E-06,3.00E-05
1,D6,3058,5365,Ecells,999,77,1142,antagScreen,1.00E-06,3.00E-05
1,E6,3380,4772,Ecells,999,77,827,antagScreen,1.00E-06,3.00E-05
1,F6,3361,4511,Ecells,999,77,1143,antagScreen,1.00E-06,3.00E-05
1,G6,2662,5145,Ecells,999,77,828,antagScreen,1.00E-06,3.00E-05
1,H6,3219,4751,Ecells,999,77,1144,antagScreen,1.00E-06,3.00E-05
1,I6,3080,4509,Ecells,999,77,829,antagScreen,1.00E-06,3.00E-05
1,J6,3198,4921,Ecells,999,77,1145,antagScreen,1.00E-06,3.00E-05
1,K6,3069,4540,Ecells,999,77,830,antagScreen,1.00E-06,3.00E-05
1,L6,3313,4259,Ecells,999,77,1146,antagScreen,1.00E-06,3.00E-05
1,M6,3505,4233,Ecells,999,77,831,antagScreen,1.00E-06,3.00E-05
1,N6,3731,4324,Ecells,999,77,1147,antagScreen,1.00E-06,3.00E-05
1,O6,4016,4314,Ecells,999,77,832,antagScreen,1.00E-06,3.00E-05
1,P6,4240,4204,Ecells,999,77,1148,antagScreen,1.00E-06,3.00E-05
1,A7,239,7578,Ecells,5855,811,,control,1.00E-12,
1,B7,3762,6382,Ecells,999,77,1241,antagScreen,1.00E-06,3.00E-05
1,C7,3528,6415,Ecells,999,77,928,antagScreen,1.00E-06,3.00E-05
1,D7,2883,5304,Ecells,999,77,1242,antagScreen,1.00E-06,3.00E-05
1,E7,3207,5235,Ecells,999,77,929,antagScreen,1.00E-06,3.00E-05
1,F7,3049,4740,Ecells,999,77,1243,antagScreen,1.00E-06,3.00E-05
1,G7,2833,4676,Ecells,999,77,930,antagScreen,1.00E-06,3.00E-05
1,H7,2749,4654,Ecells,999,77,1244,antagScreen,1.00E-06,3.00E-05
1,I7,3126,4540,Ecells,999,77,931,antagScreen,1.00E-06,3.00E-05
1,J7,3529,4080,Ecells,999,77,1245,antagScreen,1.00E-06,3.00E-05
1,K7,3085,4368,Ecells,999,77,932,antagScreen,1.00E-06,3.00E-05
1,L7,3585,3570,Ecells,999,77,1246,antagScreen,1.00E-06,3.00E-05
1,M7,3920,3813,Ecells,999,77,933,antagScreen,1.00E-06,3.00E-05
1,N7,3183,3881,Ecells,999,77,1247,antagScreen,1.00E-06,3.00E-05
1,O7,4029,3992,Ecells,999,77,934,antagScreen,1.00E-06,3.00E-05
1,P7,4729,3942,Ecells,999,77,1248,antagScreen,1.00E-06,3.00E-05
1,A8,229,6329,Ecells,5855,811,,control,1.00E-12,
