"X0" "X1.37174e.06" "X4.11523e.06" "X1.23457e.05" "X3.7037e.05" "X0.000111111" "X0.000333333" "X0.001" "X0.1" "X1.37174e.06.1" "X4.11523e.06.1" "X1.23457e.05.1" "X3.7037e.05.1" "X0.000111111.1" "X0.000333333.1" "X0.001.1"
"1" 5 4 10 8 10 2 4 2 69.8114344645742 63.3150697050761 61.5753847223631 24.1605773156892 137.272688037712 58.5519104067546 22.6771017471591 96.6763496122166
"2" 6 1 6 2 5 10 10 5 29.4710553071934 55.8129097252594 38.4683984107443 20.4565418332004 43.3655800692988 21.8135574933579 21.0883637820716 73.8892145774733
"3" 7 3 2 10 12 8 2 10 27.2515502925198 24.8652981791287 31.0404278111497 15.9652541147091 37.2010899464385 21.386223267198 19.1883038953776 73.4873350289119
"4" 12 9 9 11 2 4 5 8 26.4270186920565 22.5731225132911 24.0532324291298 12.4329359874919 26.6510125930233 18.2499204444918 19.1275032840278 47.9140037975185
"5" 10 11 11 3 4 3 11 4 25.9077432382521 15.9396331725528 20.3164489094097 11.4448052554325 18.1083894075184 15.8453559226539 18.3910901613961 41.1574826150237
"6" 2 8 4 5 11 11 7 9 20.8292077794755 13.8580025727913 17.6311225517527 11.1923769763009 13.2829656260916 9.55287969087763 16.8819607293399 29.8316345793303
"7" 9 12 5 4 3 1 12 11 15.3012787031297 13.6107721806472 14.8760922015696 10.9785618937087 10.933505242319 8.36724929095053 15.6236728712213 25.6932807945343
"8" 11 10 12 12 8 7 1 7 15.0855422698161 12.8923584771063 12.3559737813052 10.2656867658631 10.219752182696 8.22272851752753 15.0904803847187 25.4796680189927
"9" 1 2 3 7 9 13 13 1 13.1087106307836 10.1984459862859 10.388812952218 9.42286089969645 10.1042243484067 7.61957520814933 8.71827576726389 15.6210005001984
"10" 3 5 7 1 1 9 9 3 12.7702069671657 10.0303974358381 8.43434159714038 7.22432434976039 8.43866320750702 7.45976778738478 8.42151401008971 12.9308481472017
"11" 8 7 8 6 7 6 8 6 12.0093607600139 9.85191608339009 6.7826035936743 6.90766374027428 7.94323725862928 7.34827123480949 7.95806741050645 8.59139910535674
"12" 4 6 1 13 6 5 3 12 8.13584196060335 8.72351916407934 6.50864592299535 5.06504261396821 7.13922589904146 6.99650460907713 7.44279513586773 5.46664078268759
"13" 13 13 13 9 13 12 6 13 5.07904370795621 6.64793148618067 5.28234840069814 4.834309373366 6.65588094597622 6.49198727124898 6.16069628755427 4.54547375355841
