ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394728,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F2,5289,1532,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394729,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G2,5186,1517,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394730,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H2,5535,1430,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394731,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I2,5983,1297,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394732,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J2,5615,1240,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394733,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K2,5538,1356,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394734,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L2,5490,1167,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394735,26-Jan-17,1,999,77,0,,,,0.00,0,,,,M2,5396,1550,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394736,26-Jan-17,1,999,77,0,,,,0.00,0,,,,N2,5266,1268,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394737,26-Jan-17,1,999,77,0,,,,0.00,0,,,,O2,5642,1364,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394738,26-Jan-17,1,999,77,0,,,,0.00,0,,,,P2,5536,1291,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394739,26-Jan-17,1,999,77,0,,,,0.00,0,,,,A3,4281,2216,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394740,26-Jan-17,1,999,77,0,,,,0.00,0,,,,B3,4022,2075,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394741,26-Jan-17,1,999,77,0,,,,0.00,0,,,,C3,4726,1898,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394742,26-Jan-17,1,999,77,0,,,,0.00,0,,,,D3,5090,1867,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394743,26-Jan-17,1,999,77,0,,,,0.00,0,,,,E3,3803,1503,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394744,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F3,4268,1425,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394745,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G3,5016,1383,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394746,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H3,6253,1581,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394747,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I3,4477,1529,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394748,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J3,4540,1581,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
