ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
396243,07-Feb-17,1,830,817,0,,,,0.50,0,,,,A1,9022,2456,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396244,07-Feb-17,1,830,817,0,,,,0.50,0,,,,B1,8417,2440,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396245,07-Feb-17,1,830,817,0,,,,0.50,0,,,,C1,12337,3073,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396246,07-Feb-17,1,830,817,0,,,,0.50,0,,,,D1,10119,2600,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396247,07-Feb-17,1,830,817,0,,,,0.50,0,,,,E1,9675,2568,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396248,07-Feb-17,1,830,817,0,,,,0.50,0,,,,F1,10551,2891,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396249,07-Feb-17,1,830,817,0,,,,0.50,0,,,,G1,10538,3070,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396250,07-Feb-17,1,830,817,0,,,,0.50,0,,,,H1,10754,3213,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396251,07-Feb-17,1,830,817,0,,,,0.50,0,,,,I1,9244,2988,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396252,07-Feb-17,1,830,817,0,,,,0.50,0,,,,J1,9257,2784,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396253,07-Feb-17,1,830,817,0,,,,0.50,0,,,,K1,8605,2953,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396254,07-Feb-17,1,830,817,0,,,,0.50,0,,,,L1,8181,3447,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396255,07-Feb-17,1,830,817,0,,,,0.50,0,,,,M1,8771,3816,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396256,07-Feb-17,1,830,817,0,,,,0.50,0,,,,N1,8132,3716,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396257,07-Feb-17,1,830,817,0,,,,0.50,0,,,,O1,8536,3818,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396258,07-Feb-17,1,830,817,0,,,,0.50,0,,,,P1,6199,4572,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396259,07-Feb-17,1,830,817,0,,,,0.50,0,,,,A2,8988,2329,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396260,07-Feb-17,1,830,817,0,,,,0.50,0,,,,B2,11425,2435,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396261,07-Feb-17,1,830,817,0,,,,0.50,0,,,,C2,12574,2484,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396262,07-Feb-17,1,830,817,0,,,,0.50,0,,,,D2,11992,2515,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396263,07-Feb-17,1,830,817,0,,,,0.50,0,,,,E2,10976,2742,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396264,07-Feb-17,1,830,817,0,,,,0.50,0,,,,F2,13023,2813,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396265,07-Feb-17,1,830,817,0,,,,0.50,0,,,,G2,12938,3019,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
396266,07-Feb-17,1,830,817,0,,,,0.50,0,,,,H2,13565,2874,"Testing 384 well plate for plate effects; cell plated and transfected normally, plate read on special protocol - top to bottom",,Kamarck,antag alone,E Cells
