TMA Concentration,PlateLocation,Plate_number,Luc,RL,norm,Receptor
0.000111111,F3,8,5255,1642,3.200365408,830
0.000333333,G3,8,5995,1632,3.673406863,830
0.001,H3,8,6542,1530,4.275816993,830
0,A4,8,298,2056,0.144941634,830
1.37174E-06,B4,8,376,1956,0.192229039,830
4.11523E-06,C4,8,870,1834,0.474372955,830
1.23457E-05,D4,8,2496,1824,1.368421053,830
3.7037E-05,E4,8,3654,1764,2.071428571,830
0.000111111,F4,8,4967,1524,3.259186352,830
0.000333333,G4,8,5826,1623,3.589648799,830
0.001,H4,8,6140,2135,2.87587822,830
0,A5,8,273,1980,0.137878788,830
1.37174E-06,B5,8,363,1969,0.184357542,830
4.11523E-06,C5,8,801,1785,0.448739496,830
1.23457E-05,D5,8,2528,1962,1.288481142,830
3.7037E-05,E5,8,3993,1628,2.452702703,830
0.000111111,F5,8,5170,1587,3.257718967,830
0.000333333,G5,8,5978,1570,3.807643312,830
0.001,H5,8,6475,1516,4.271108179,830
0,A6,8,287,2078,0.138113571,830
1.37174E-06,B6,8,357,1995,0.178947368,830
4.11523E-06,C6,8,922,1988,0.463782696,830
1.23457E-05,D6,8,2529,1930,1.310362694,830
3.7037E-05,E6,8,3811,1839,2.072321914,830
0.000111111,F6,8,5272,1661,3.173991571,830
0.000333333,G6,8,5931,1586,3.739596469,830
0.001,H6,8,6941,2187,3.173754001,830
0,A7,8,364,2727,0.133480015,999
1.37174E-06,B7,8,329,2527,0.130193906,999
4.11523E-06,C7,8,341,2526,0.134996041,999
1.23457E-05,D7,8,338,2468,0.136952998,999
3.7037E-05,E7,8,396,2633,0.150398785,999
0.000111111,F7,8,384,2665,0.144090056,999
0.000333333,G7,8,398,2636,0.150986343,999
0.001,H7,8,460,2906,0.158293187,999
0,A8,8,293,2675,0.10953271,999
1.37174E-06,B8,8,285,2441,0.116755428,999
4.11523E-06,C8,8,310,2523,0.1228696,999
1.23457E-05,D8,8,315,2345,0.134328358,999
3.7037E-05,E8,8,343,2403,0.142738244,999
0.000111111,F8,8,301,2232,0.134856631,999
0.000333333,G8,8,354,2671,0.132534631,999
0.001,H8,8,381,2652,0.143665158,999
0,A9,8,306,2543,0.120330319,999
1.37174E-06,B9,8,310,2262,0.137046861,999
4.11523E-06,C9,8,313,2384,0.131291946,999
1.23457E-05,D9,8,277,2329,0.118935165,999
3.7037E-05,E9,8,282,2162,0.130434783,999
0.000111111,F9,8,278,2140,0.129906542,999
0.000333333,G9,8,324,2575,0.125825243,999
0.001,H9,8,394,2724,0.144640235,999
0,A10,8,253,2289,0.110528615,999
1.37174E-06,B10,8,308,2422,0.12716763,999
4.11523E-06,C10,8,298,2293,0.12996075,999
1.23457E-05,D10,8,281,2159,0.130152849,999
3.7037E-05,E10,8,265,2064,0.128391473,999
0.000111111,F10,8,279,2148,0.129888268,999
0.000333333,G10,8,314,2608,0.120398773,999
0.001,H10,8,409,2978,0.137340497,999
0,A11,8,280,2482,0.112812248,999
1.37174E-06,B11,8,304,2467,0.123226591,999
4.11523E-06,C11,8,278,2332,0.119210978,999
1.23457E-05,D11,8,284,2373,0.11967973,999
3.7037E-05,E11,8,270,2087,0.129372305,999
0.000111111,F11,8,269,2142,0.125583567,999
0.000333333,G11,8,304,2741,0.110908428,999
0.001,H11,8,441,2825,0.156106195,999
0,A12,8,292,2713,0.10762993,999
1.37174E-06,B12,8,276,2527,0.109220419,999
4.11523E-06,C12,8,255,2377,0.107278082,999
1.23457E-05,D12,8,285,2382,0.119647355,999
3.7037E-05,E12,8,261,2194,0.118960802,999
0.000111111,F12,8,272,2473,0.109987869,999
0.000333333,G12,8,300,3000,0.1,999
0.001,H12,8,425,3029,0.140310333,999
