Receptor,SV40,CRE,Row,Column,masterMix,Plate,TMAConcentration,receptorType,Luc,RL,,,,
5,0.5,25,C,11,2,1,4.11523E-06,Rho,732,2584,,,,
5,0.5,25,D,11,2,1,1.23457E-05,Rho,740,2366,,,,
5,0.5,25,E,11,2,1,3.7037E-05,Rho,725,2381,,,,
5,0.5,25,F,11,2,1,0.000111111,Rho,771,2300,,,,
5,0.5,25,G,11,2,1,0.000333333,Rho,765,2240,,,,
5,0.5,25,H,11,2,1,0.001,Rho,741,2378,,,,
5,0.5,25,A,12,2,1,0,Rho,581,3439,,,,
5,0.5,25,B,12,2,1,1.37174E-06,Rho,602,3033,,,,
5,0.5,25,C,12,2,1,4.11523E-06,Rho,686,2832,,,,
5,0.5,25,D,12,2,1,1.23457E-05,Rho,739,2787,,,,
5,0.5,25,E,12,2,1,3.7037E-05,Rho,728,2576,,,,
5,0.5,25,F,12,2,1,0.000111111,Rho,673,2512,,,,
5,0.5,25,G,12,2,1,0.000333333,Rho,707,2435,,,,
5,0.5,25,H,12,2,1,0.001,Rho,715,2493,,,,
5,0.5,27.5,A,1,3,2,0,TAAR5,1234,1600,,,,
5,0.5,27.5,B,1,3,2,1.37174E-06,TAAR5,1998,1668,,,,
5,0.5,27.5,C,1,3,2,4.11523E-06,TAAR5,4508,1496,,,,
5,0.5,27.5,D,1,3,2,1.23457E-05,TAAR5,6022,1525,,,,
5,0.5,27.5,E,1,3,2,3.7037E-05,TAAR5,10945,1376,,,,
5,0.5,27.5,F,1,3,2,0.000111111,TAAR5,15131,1392,,,,
5,0.5,27.5,G,1,3,2,0.000333333,TAAR5,17831,1448,,,,
5,0.5,27.5,H,1,3,2,0.001,TAAR5,16862,1402,,,,
5,0.5,27.5,A,2,3,2,0,TAAR5,1230,1618,,,,
5,0.5,27.5,B,2,3,2,1.37174E-06,TAAR5,2073,1559,,,,
5,0.5,27.5,C,2,3,2,4.11523E-06,TAAR5,4272,1350,,,,
5,0.5,27.5,D,2,3,2,1.23457E-05,TAAR5,6938,1354,,,,
5,0.5,27.5,E,2,3,2,3.7037E-05,TAAR5,12572,1204,,,,
5,0.5,27.5,F,2,3,2,0.000111111,TAAR5,18037,1276,,,,
5,0.5,27.5,G,2,3,2,0.000333333,TAAR5,20088,1251,,,,
5,0.5,27.5,H,2,3,2,0.001,TAAR5,18293,1363,,,,
5,0.5,27.5,A,3,3,2,0,TAAR5,1224,1510,,,,
5,0.5,27.5,B,3,3,2,1.37174E-06,TAAR5,2110,1402,,,,
5,0.5,27.5,C,3,3,2,4.11523E-06,TAAR5,4541,1447,,,,
5,0.5,27.5,D,3,3,2,1.23457E-05,TAAR5,6624,1286,,,,
5,0.5,27.5,E,3,3,2,3.7037E-05,TAAR5,13338,1335,,,,
5,0.5,27.5,F,3,3,2,0.000111111,TAAR5,17230,1267,,,,
5,0.5,27.5,G,3,3,2,0.000333333,TAAR5,19161,1132,,,,
5,0.5,27.5,H,3,3,2,0.001,TAAR5,19451,1282,,,,
5,0.5,27.5,A,4,3,2,0,Rho,964,1546,,,,
5,0.5,27.5,B,4,3,2,1.37174E-06,Rho,896,1361,,,,
5,0.5,27.5,C,4,3,2,4.11523E-06,Rho,912,1312,,,,
5,0.5,27.5,D,4,3,2,1.23457E-05,Rho,870,1274,,,,
5,0.5,27.5,E,4,3,2,3.7037E-05,Rho,1035,1219,,,,
5,0.5,27.5,F,4,3,2,0.000111111,Rho,1129,1326,,,,
5,0.5,27.5,G,4,3,2,0.000333333,Rho,1002,1277,,,,
5,0.5,27.5,H,4,3,2,0.001,Rho,1007,1354,,,,
5,0.5,27.5,A,5,3,2,0,Rho,898,1644,,,,
5,0.5,27.5,B,5,3,2,1.37174E-06,Rho,945,1404,,,,
