Receptor,SV40,CRE,Row,Column,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm,UseforRSM,Receptor_Type
5,0.5,30,A,7,637,2602,0.244811683,725,2709,0.26762643,702,3273,0.214482126,n,Rho
5,0.5,32.5,B,7,817,2197,0.371870733,906,2381,0.38051239,913,2539,0.35959039,n,Rho
5,0.75,22.5,C,7,367,4009,0.091544026,418,3872,0.107954545,441,4590,0.096078431,n,Rho
5,0.75,25,D,7,416,3830,0.108616188,544,4278,0.127162225,613,4972,0.123290426,n,Rho
5,0.75,27.5,E,7,538,3627,0.148331955,570,3595,0.158553547,596,4483,0.132946687,n,Rho
5,0.75,30,F,7,628,3616,0.173672566,648,4039,0.160435751,717,4278,0.167601683,n,Rho
5,0.75,32.5,G,7,655,2882,0.227272727,851,3603,0.236192062,712,4125,0.172606061,n,Rho
5,1,22.5,H,7,322,5182,0.062138171,341,4760,0.071638655,291,5755,0.050564726,n,Rho
5,1,25,A,8,370,6242,0.059275873,401,5457,0.073483599,392,5851,0.066997095,n,Rho
5,1,27.5,B,8,434,4783,0.090738031,568,4940,0.114979757,484,5339,0.09065368,n,Rho
5,1,30,C,8,611,4493,0.135989317,612,4206,0.145506419,632,4779,0.13224524,n,Rho
5,1,32.5,D,8,610,4777,0.127695206,802,4774,0.167993297,685,4904,0.139681892,n,Rho
5,5,10,E,8,1984,8350,0.23760479,4450,7742,0.574786877,5447,8517,0.639544441,n,hTAAR5
5,5,10,F,8,1649,8282,0.199106496,4190,8809,0.475649904,5027,8997,0.558741803,n,hTAAR5
5,5,10,G,8,149,8513,0.017502643,174,8342,0.020858307,112,9206,0.012165979,n,Rho
5,5,10,H,8,104,8399,0.012382426,123,8109,0.015168331,130,9208,0.014118158,n,Rho
