TMA Concentration,PlateLocation,Plate_number,luc,RL,norm,Receptor
1.37174E-06,B6,8,470,1306,0.359877489,830
4.11523E-06,C6,8,1123,1285,0.873929961,830
1.23457E-05,D6,8,2270,1230,1.845528455,830
3.7037E-05,E6,8,3170,1173,2.702472293,830
0.000111111,F6,8,3930,1131,3.474801061,830
0.000333333,G6,8,4349,1184,3.673141892,830
0.001,H6,8,4638,1391,3.334291876,830
0,A7,8,465,1868,0.248929336,999
1.37174E-06,B7,8,452,1869,0.241840556,999
4.11523E-06,C7,8,404,1765,0.228895184,999
1.23457E-05,D7,8,412,1801,0.228761799,999
3.7037E-05,E7,8,421,1642,0.256394641,999
0.000111111,F7,8,455,1839,0.247417074,999
0.000333333,G7,8,517,1809,0.285793256,999
0.001,H7,8,528,2023,0.260998517,999
0,A8,8,498,2155,0.231090487,999
1.37174E-06,B8,8,384,2011,0.190949776,999
4.11523E-06,C8,8,429,1788,0.239932886,999
1.23457E-05,D8,8,431,1816,0.237334802,999
3.7037E-05,E8,8,374,1949,0.191893279,999
0.000111111,F8,8,475,2061,0.230470645,999
0.000333333,G8,8,495,2140,0.231308411,999
0.001,H8,8,629,2410,0.260995851,999
0,A9,8,468,2106,0.222222222,999
1.37174E-06,B9,8,453,1750,0.258857143,999
4.11523E-06,C9,8,367,1935,0.189664083,999
1.23457E-05,D9,8,378,1873,0.20181527,999
3.7037E-05,E9,8,390,1674,0.23297491,999
0.000111111,F9,8,405,1890,0.214285714,999
0.000333333,G9,8,474,1974,0.240121581,999
0.001,H9,8,576,2204,0.261343013,999
0,A10,8,459,2021,0.227115289,999
1.37174E-06,B10,8,473,1980,0.238888889,999
4.11523E-06,C10,8,453,1894,0.239176346,999
1.23457E-05,D10,8,399,1873,0.213027229,999
3.7037E-05,E10,8,375,1793,0.209146682,999
0.000111111,F10,8,417,1979,0.210712481,999
0.000333333,G10,8,494,2056,0.240272374,999
0.001,H10,8,549,2225,0.246741573,999
0,A11,8,464,2085,0.222541966,999
1.37174E-06,B11,8,476,1881,0.253056885,999
4.11523E-06,C11,8,397,1994,0.199097292,999
1.23457E-05,D11,8,420,2059,0.203982516,999
3.7037E-05,E11,8,411,1940,0.21185567,999
0.000111111,F11,8,413,1910,0.216230366,999
0.000333333,G11,8,514,1927,0.266735859,999
0.001,H11,8,590,2126,0.277516463,999
0,A12,8,513,1997,0.256885328,999
1.37174E-06,B12,8,531,1965,0.270229008,999
4.11523E-06,C12,8,475,1970,0.241116751,999
1.23457E-05,D12,8,426,1910,0.223036649,999
3.7037E-05,E12,8,413,1690,0.244378698,999
0.000111111,F12,8,463,1984,0.233366935,999
0.000333333,G12,8,490,1911,0.256410256,999
0.001,H12,8,563,1929,0.291861068,999
